model,family,class,precision,recall,f1,support
Random Forest,Classical ML,Normal,0.8011049723756906,0.9354838709677419,0.8630952380952381,155.0
Random Forest,Classical ML,Depression,0.7058823529411765,0.5675675675675675,0.6292134831460674,148.0
Random Forest,Classical ML,Anxiety,0.7435897435897436,0.8055555555555556,0.7733333333333333,36.0
Random Forest,Classical ML,Suicidal,0.603448275862069,0.6730769230769231,0.6363636363636364,104.0
Random Forest,Classical ML,Stress,0.45454545454545453,0.43478260869565216,0.4444444444444444,23.0
Random Forest,Classical ML,Bipolar,0.875,0.56,0.6829268292682927,25.0
Random Forest,Classical ML,Personality disorder,1.0,0.7777777777777778,0.875,9.0
SVM (LinearSVC),Classical ML,Normal,0.8698224852071006,0.9483870967741935,0.9074074074074074,155.0
SVM (LinearSVC),Classical ML,Depression,0.7457627118644068,0.5945945945945946,0.6616541353383458,148.0
SVM (LinearSVC),Classical ML,Anxiety,0.6818181818181818,0.8333333333333334,0.75,36.0
SVM (LinearSVC),Classical ML,Suicidal,0.6339285714285714,0.6826923076923077,0.6574074074074074,104.0
SVM (LinearSVC),Classical ML,Stress,0.64,0.6956521739130435,0.6666666666666666,23.0
SVM (LinearSVC),Classical ML,Bipolar,0.8181818181818182,0.72,0.7659574468085106,25.0
SVM (LinearSVC),Classical ML,Personality disorder,0.7,0.7777777777777778,0.7368421052631579,9.0
gemini-3.1-pro-preview,Google,Normal,0.844311377245509,0.9096774193548387,0.8757763975155279,155.0
gemini-3.1-pro-preview,Google,Depression,0.7126436781609196,0.4189189189189189,0.5276595744680851,148.0
gemini-3.1-pro-preview,Google,Anxiety,0.4142857142857143,0.8055555555555556,0.5471698113207547,36.0
gemini-3.1-pro-preview,Google,Suicidal,0.6611570247933884,0.7692307692307693,0.7111111111111111,104.0
gemini-3.1-pro-preview,Google,Stress,0.37037037037037035,0.43478260869565216,0.4,23.0
gemini-3.1-pro-preview,Google,Bipolar,0.8235294117647058,0.56,0.6666666666666666,25.0
gemini-3.1-pro-preview,Google,Personality disorder,0.45454545454545453,0.5555555555555556,0.5,9.0
gemini-3.6-flash,Google,Normal,0.8509316770186336,0.8838709677419355,0.8670886075949367,155.0
gemini-3.6-flash,Google,Depression,0.7794117647058824,0.3581081081081081,0.49074074074074076,148.0
gemini-3.6-flash,Google,Anxiety,0.4142857142857143,0.8055555555555556,0.5471698113207547,36.0
gemini-3.6-flash,Google,Suicidal,0.6439393939393939,0.8173076923076923,0.7203389830508474,104.0
gemini-3.6-flash,Google,Stress,0.325,0.5652173913043478,0.4126984126984127,23.0
gemini-3.6-flash,Google,Bipolar,0.75,0.48,0.5853658536585366,25.0
gemini-3.6-flash,Google,Personality disorder,0.46153846153846156,0.6666666666666666,0.5454545454545454,9.0
google/gemma-4b-e4b,Local (LM Studio),Normal,0.8156028368794326,0.7467532467532467,0.7796610169491526,154.0
google/gemma-4b-e4b,Local (LM Studio),Depression,0.6555555555555556,0.39864864864864863,0.4957983193277311,148.0
google/gemma-4b-e4b,Local (LM Studio),Anxiety,0.36585365853658536,0.8333333333333334,0.5084745762711864,36.0
google/gemma-4b-e4b,Local (LM Studio),Suicidal,0.632,0.7596153846153846,0.6899563318777293,104.0
google/gemma-4b-e4b,Local (LM Studio),Stress,0.23076923076923078,0.391304347826087,0.2903225806451613,23.0
google/gemma-4b-e4b,Local (LM Studio),Bipolar,0.6666666666666666,0.24,0.35294117647058826,25.0
google/gemma-4b-e4b,Local (LM Studio),Personality disorder,0.38461538461538464,0.5555555555555556,0.45454545454545453,9.0
gpt-5.6-sol,OpenAI,Normal,0.8807947019867549,0.8580645161290322,0.869281045751634,155.0
gpt-5.6-sol,OpenAI,Depression,0.75,0.32432432432432434,0.4528301886792453,148.0
gpt-5.6-sol,OpenAI,Anxiety,0.41333333333333333,0.8611111111111112,0.5585585585585585,36.0
gpt-5.6-sol,OpenAI,Suicidal,0.581081081081081,0.8269230769230769,0.6825396825396826,104.0
gpt-5.6-sol,OpenAI,Stress,0.3023255813953488,0.5652173913043478,0.3939393939393939,23.0
gpt-5.6-sol,OpenAI,Bipolar,1.0,0.44,0.6111111111111112,25.0
gpt-5.6-sol,OpenAI,Personality disorder,0.625,0.5555555555555556,0.5882352941176471,9.0
gpt-5.6-terra,OpenAI,Normal,0.8209876543209876,0.8580645161290322,0.8391167192429022,155.0
gpt-5.6-terra,OpenAI,Depression,0.703125,0.30405405405405406,0.42452830188679247,148.0
gpt-5.6-terra,OpenAI,Anxiety,0.4166666666666667,0.8333333333333334,0.5555555555555556,36.0
gpt-5.6-terra,OpenAI,Suicidal,0.5704697986577181,0.8173076923076923,0.6719367588932806,104.0
gpt-5.6-terra,OpenAI,Stress,0.34285714285714286,0.5217391304347826,0.41379310344827586,23.0
gpt-5.6-terra,OpenAI,Bipolar,1.0,0.4,0.5714285714285714,25.0
gpt-5.6-terra,OpenAI,Personality disorder,0.5,0.4444444444444444,0.47058823529411764,9.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Normal,0.8064516129032258,0.6451612903225806,0.7168458781362007,155.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Depression,0.6428571428571429,0.42567567567567566,0.5121951219512195,148.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Anxiety,0.2204724409448819,0.7777777777777778,0.34355828220858897,36.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Suicidal,0.69,0.6634615384615384,0.6764705882352942,104.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Stress,0.21428571428571427,0.391304347826087,0.27692307692307694,23.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Bipolar,0.8,0.16,0.26666666666666666,25.0
meta-llama-3.1-8b-instruct,Local (LM Studio),Personality disorder,0.5,0.2222222222222222,0.3076923076923077,9.0
